date,ML,Low,High,state,county
2020-04-07,2.0,0.34,6.43,Alabama,Autauga
2020-04-08,1.8800000000000001,0.38,5.01,Alabama,Autauga
2020-04-09,1.8,0.38,4.45,Alabama,Autauga
2020-04-10,1.74,0.4,4.13,Alabama,Autauga
2020-04-11,1.69,0.37,3.85,Alabama,Autauga
2020-04-12,1.6400000000000001,0.4,3.7,Alabama,Autauga
2020-04-13,1.61,0.41000000000000003,3.56,Alabama,Autauga
2020-04-14,1.0,0.0,3.35,Alabama,Autauga
2020-04-15,1.0,0.0,3.35,Alabama,Autauga
2020-04-16,1.0,0.0,3.35,Alabama,Autauga
2020-04-17,1.0,0.0,3.35,Alabama,Autauga
2020-04-18,1.0,0.0,3.35,Alabama,Autauga
2020-04-19,1.0,0.0,3.35,Alabama,Autauga
2020-04-20,1.0,0.0,3.35,Alabama,Autauga
2020-04-21,1.0,0.0,3.35,Alabama,Autauga
2020-03-23,2.0,0.34,6.43,Alabama,Baldwin
2020-03-24,1.8800000000000001,0.38,5.01,Alabama,Baldwin
2020-03-25,1.8,0.38,4.45,Alabama,Baldwin
2020-03-26,1.74,0.4,4.13,Alabama,Baldwin
2020-03-27,1.96,0.5,4.24,Alabama,Baldwin
2020-03-28,2.08,0.58,4.09,Alabama,Baldwin
2020-03-29,1.8900000000000001,0.54,3.62,Alabama,Baldwin
2020-03-30,1.62,0.0,3.23,Alabama,Baldwin
2020-03-31,1.53,0.0,3.0500000000000003,Alabama,Baldwin
2020-04-01,1.47,0.01,2.92,Alabama,Baldwin
2020-04-02,1.42,0.0,2.79,Alabama,Baldwin
2020-04-03,1.2,0.0,2.5500000000000003,Alabama,Baldwin
2020-04-04,1.0,0.0,2.38,Alabama,Baldwin
2020-04-05,1.19,0.0,2.5100000000000002,Alabama,Baldwin
2020-04-06,1.35,0.03,2.64,Alabama,Baldwin
2020-04-07,1.32,0.02,2.5500000000000003,Alabama,Baldwin
2020-04-08,1.44,0.09,2.65,Alabama,Baldwin
2020-04-09,1.3900000000000001,0.15,2.62,Alabama,Baldwin
2020-04-10,1.36,0.15,2.5300000000000002,Alabama,Baldwin
2020-04-11,1.33,0.13,2.43,Alabama,Baldwin
2020-04-12,1.21,0.09,2.27,Alabama,Baldwin
2020-04-13,1.2,0.12,2.27,Alabama,Baldwin
2020-04-14,1.19,0.11,2.22,Alabama,Baldwin
2020-04-15,1.09,0.06,2.08,Alabama,Baldwin
2020-04-16,1.0,0.02,1.96,Alabama,Baldwin
2020-04-17,0.91,0.0,1.87,Alabama,Baldwin
2020-04-18,0.91,0.0,1.8800000000000001,Alabama,Baldwin
2020-04-19,0.81,0.0,1.82,Alabama,Baldwin
2020-04-20,0.8,0.0,1.83,Alabama,Baldwin
2020-04-21,0.79,0.0,1.85,Alabama,Baldwin
2020-04-06,2.0,0.34,6.43,Alabama,Barbour
2020-04-07,1.8800000000000001,0.38,5.01,Alabama,Barbour
2020-04-08,1.8,0.38,4.45,Alabama,Barbour
2020-04-09,1.74,0.4,4.13,Alabama,Barbour
2020-04-10,1.69,0.37,3.85,Alabama,Barbour
2020-04-11,1.6400000000000001,0.4,3.7,Alabama,Barbour
2020-04-12,1.61,0.41000000000000003,3.56,Alabama,Barbour
